,TIPLOC,TOC_New
867,FAREHAM,GW (10.05%); SN (22.11%); SW (58.79%); XC (7.04%); ZZ (2.01%)
868,FARENJN,GW (4.86%); SN (3.31%); SW (87.73%); XC (3.65%); ZZ (0.44%)
869,FARNHAM,ZZ (100.0%)
870,FAVRSHM,SE (65.25%); ZZ (34.75%)
871,FAWKHMJ,SE (98.09%); ZZ (1.91%)
872,FAYGATE,SN (50.0%); TL (50.0%)
873,FELNFRN,AW (97.5%); LS (2.5%)
874,FELTHAM,SW (47.26%); WR (13.01%); ZZ (39.73%)
875,FELTHMJ,SW (98.19%); WR (0.45%); ZZ (1.36%)
876,FENITON,GW (9.85%); SW (90.15%)
877,FENNYCM,CH (63.66%); LS (0.1%); XC (36.23%)
878,FERRIBY,GR (14.06%); HT (3.12%); NT (50.0%); TP (32.81%)
879,FERYBDG,NT (72.73%); XC (27.27%)
880,FILTNEW,GW (42.02%); WR (0.13%); XC (57.37%); ZZ (0.47%)
881,FINSTCK,GW (100.0%)
882,FISKRTN,EM (100.0%)
883,FIVEWYS,LM (39.26%); XC (60.64%); ZZ (0.1%)
884,FLEET,SW (86.18%); ZZ (13.82%)
885,FLETTON,CS (0.44%); GC (7.13%); GN (3.29%); GR (54.03%); HT (4.93%); LD (3.64%); TL (26.29%); ZZ (0.25%)
886,FLINT,AW (39.13%); LS (1.74%); VT (40.87%); ZZ (18.26%)
887,FLITWCJ,EM (17.5%); TL (75.0%); ZZ (7.5%)
888,FLITWCK,EM (92.42%); TL (6.64%); ZZ (0.94%)
889,FLKLJN,LS (0.56%); SR (99.44%)
890,FLKSTNC,SE (72.12%); ZZ (27.88%)
891,FLKSTNE,SE (96.68%); ZZ (3.32%)
892,FLKSTNW,SE (55.56%); ZZ (44.44%)
893,FLXSBJN,LE (100.0%)
894,FNCHLYR,LO (97.18%); ZZ (2.82%)
895,FNPK,CS (0.25%); GC (6.85%); GN (24.48%); GR (53.97%); HT (4.66%); LD (5.31%); TL (4.03%); ZZ (0.45%)
896,FNSTNEJ,CS (0.75%); SR (98.65%); WR (0.06%); ZZ (0.54%)
897,FNSTNWJ,CS (0.78%); SR (99.1%); WR (0.06%); ZZ (0.06%)
898,FORD,SN (99.78%); ZZ (0.22%)
899,FORESTH,LO (18.49%); SN (24.52%); TL (56.99%)
900,FORRES,SR (44.83%); ZZ (55.17%)
901,FOUROKS,LM (37.1%); VT (4.52%); XC (57.47%); ZZ (0.9%)
902,FOXFILD,NT (100.0%)
903,FOXHALJ,GW (90.0%); WR (3.75%); ZZ (6.25%)
904,FOXTON,GN (50.9%); TL (49.1%)
905,FRANT,SE (100.0%)
906,FRATTNE,GW (12.59%); SN (30.77%); SW (56.63%)
907,FRATTNY,SW (100.0%)
908,FRATTON,SN (57.69%); SW (42.31%)
909,FRATTSH,SW (100.0%)
910,FRBRMN,SW (96.81%); ZZ (3.19%)
911,FRBRNTH,GW (100.0%)
912,FRDSHM,AW (100.0%)
913,FRDSHMJ,AW (71.0%); NT (29.0%)
914,FRESHFD,GW (100.0%)
915,FRIARSJ,ZZ (100.0%)
916,FRIMLEY,SW (100.0%)
917,FRIMLYJ,SW (100.0%)
918,FRLNGTJ,SN (62.07%); SW (37.25%); XC (0.69%)
919,FRNBRCE,SW (100.0%)
920,FRNBRLE,SW (100.0%)
921,FRNCMB,SW (97.22%); XC (2.78%)
922,FRNDFST,XR (100.0%)
923,FRNDNLT,TL (100.0%)
924,FRNDXR,XR (100.0%)
925,FRNGTNC,CS (1.36%); NT (95.26%); TP (1.42%); VT (0.71%); WR (1.26%)
926,FRNGTNJ,LS (100.0%)
927,FRNNGRD,SE (100.0%)
928,FRSTGT,CC (7.96%); LE (72.12%); LO (5.75%); XR (11.5%); ZZ (2.65%)
929,FRSTGTJ,CC (5.39%); LE (46.94%); LO (0.99%); SO (0.04%); XR (46.22%); ZZ (0.43%)
930,FRTMTLD,SR (100.0%)
931,FRTWJN,CS (17.24%); SR (50.34%); WR (27.59%); ZZ (4.83%)
932,FRWDJN,GW (87.98%); LS (0.62%); SW (10.65%); WR (0.12%); XC (0.12%); ZZ (0.5%)
933,FSHBORN,SN (100.0%)
934,FSHRSGT,SN (93.1%); TL (6.9%)
935,FSTR,ZZ (100.0%)
936,FULWELL,SW (100.0%)
937,FUSHBJN,SR (100.0%)
938,FYHLSJN,CS (0.78%); GC (0.13%); GR (43.43%); LD (6.5%); LS (0.07%); NT (7.67%); TP (19.73%); WR (0.23%); XC (21.33%); ZZ (0.13%)
939,FYSD,AW (89.72%); GW (10.28%)
940,GAERJ,AW (83.25%); GW (11.93%); XC (1.14%); ZZ (3.68%)
941,GALTILL,VT (100.0%)
942,GALTINT,CH (20.31%); LM (47.66%); VT (22.27%); XC (9.77%)
943,GALTONJ,AW (11.38%); LM (55.06%); LS (0.07%); VT (18.99%); WR (0.04%); XC (14.46%)
944,GANNOWJ,NT (100.0%)
945,GANTRYA,SR (100.0%)
946,GARROWH,CS (100.0%)
947,GARSDLE,LS (11.76%); NT (70.59%); WR (17.65%)
948,GASFCTJ,CC (100.0%)
949,GATLEY,AW (21.15%); NT (40.38%); TP (38.46%)
950,GBGHLRD,GR (56.52%); NT (43.48%)
951,GBNK,AW (100.0%)
952,GBROTJ,EM (17.66%); GR (2.87%); NT (79.47%)
953,GERRDSX,CH (99.95%); LS (0.05%)
954,GFLD,NT (1.95%); TP (97.49%); WR (0.14%); ZZ (0.42%)
955,GFORDSJ,CH (45.9%); GW (52.46%); LS (1.64%)
956,GFORDWJ,CH (96.55%); LS (3.45%)
957,GIDB,NT (8.16%); TP (91.42%); ZZ (0.42%)
958,GIDEAPK,LE (89.74%); LO (0.72%); XR (8.99%); ZZ (0.54%)
959,GIDEPKJ,LE (44.17%); XR (55.83%)
960,GIPSYH,SN (89.36%); TL (10.64%)
961,GLAZBKE,EM (25.75%); NT (66.15%); TP (8.1%)
962,GLBKJN,SR (100.0%)
963,GLBRDYK,GR (3.51%); HT (13.22%); NT (52.93%); TP (30.34%)
964,GLDL,CS (29.07%); SR (65.12%); WR (1.16%); ZZ (4.65%)
965,GLGCBSJ,CS (0.88%); GR (0.56%); SR (87.93%); TP (3.72%); VT (5.93%); XC (0.93%); ZZ (0.06%)
966,GLGCLL,SR (93.37%); WR (2.21%); ZZ (4.42%)
967,GLGHSJN,SR (96.49%); ZZ (3.51%)
968,GLGHST,SR (100.0%)
969,GLGQLL,SR (100.0%)
970,GLHM,SW (100.0%)
971,GLNGHMK,SE (81.05%); TL (1.58%); ZZ (17.37%)
972,GLNRTHS,XC (100.0%)
973,GLOSOVR,GW (27.27%); XC (40.91%); ZZ (31.82%)
974,GLOSTER,GW (16.67%); ZZ (83.33%)
975,GLOSTYJ,GW (64.39%); LS (0.17%); WR (0.09%); XC (35.1%); ZZ (0.26%)
976,GLYNDE,SN (100.0%)
977,GNHLLJN,SR (98.56%); VT (1.21%); WR (0.23%)
978,GNHLUJN,SR (99.85%); ZZ (0.15%)
979,GNHT,SE (100.0%)
980,GNRSBRY,LO (70.68%); LT (29.32%)
981,GNWH,SE (92.72%); TL (7.28%)
982,GOBOWEN,AW (100.0%)
983,GODMAYS,LE (55.4%); LO (6.97%); XR (37.63%)
984,GODSTON,SE (91.8%); SN (8.2%)
985,GOLBRNJ,CS (3.63%); LS (0.57%); NT (27.65%); TP (2.2%); VT (64.23%); WR (1.72%)
986,GOMSHAL,GW (95.79%); WR (0.36%); ZZ (3.85%)
987,GOOLE,GR (80.0%); HT (6.67%); NT (13.33%)
988,GOOLPGJ,NT (100.0%)
989,GOOSTRY,AW (37.31%); NT (20.9%); VT (34.33%); XC (5.97%); ZZ (1.49%)
990,GORASTR,GW (87.14%); LS (0.13%); WR (0.11%); XC (12.34%); ZZ (0.27%)
991,GORDONH,GC (8.14%); GN (47.97%); HT (0.58%); LD (4.07%); TL (31.1%); ZZ (8.14%)
992,GORGIEJ,SR (14.74%); VT (22.11%); XC (63.16%)
993,GORNGBS,SN (100.0%)
994,GORTON,NT (9.86%); TP (90.14%)
995,GOSPLOK,LO (85.43%); SO (1.32%); WR (3.97%); ZZ (9.27%)
996,GOVS,LS (5.13%); NT (94.87%)
997,GOWERTN,AW (42.7%); GW (57.3%)
998,GRAVLYH,LM (78.95%); XC (21.05%)
999,GRAYS,CC (46.51%); WR (13.95%); ZZ (39.53%)
1000,GREATHM,GC (25.16%); GR (2.99%); NT (71.86%)
1001,GRENCKC,SR (100.0%)
1002,GRENCKW,SR (100.0%)
1003,GRETNAJ,CS (4.99%); LS (0.51%); SR (9.09%); TP (37.69%); VT (47.6%); WR (0.13%)
1004,GRGRAVE,LS (2.38%); NT (90.48%); WR (7.14%)
1005,GRIGG,CS (5.02%); LS (0.4%); TP (40.03%); VT (54.1%); WR (0.46%)
1006,GRJT,LM (100.0%)
1007,GRMSBYD,EM (25.0%); TP (75.0%)
1008,GRMSBYT,EM (57.41%); TP (5.56%); ZZ (37.04%)
1009,GRNDLFD,EM (44.67%); NT (4.86%); TP (50.47%)
1010,GRNFLDS,SR (92.86%); VT (7.14%)
1011,GRNGMTJ,CS (3.19%); GR (6.12%); SR (89.09%); VT (1.34%); WR (0.26%)
1012,GRNHJN,SN (100.0%)
1013,GRNLNNG,CS (2.75%); GR (4.4%); SR (92.86%)
1014,GRNQNNJ,SR (97.8%); VT (1.85%); WR (0.35%)
1015,GRNSFDJ,GC (22.05%); GR (12.17%); NT (47.53%); TP (11.79%); XC (6.46%)
1016,GRPK,GN (54.17%); TL (45.83%)
1017,GRTCSHJ,SR (100.0%)
1018,GRTLNDJ,GC (16.99%); NT (65.21%); TP (17.57%); WR (0.22%)
1019,GRVPDCE,SE (100.0%)
1020,GRVPDLE,SE (100.0%)
1021,GRVPK,SE (99.95%); ZZ (0.05%)
1022,GRVPUCE,SE (100.0%)
1023,GRVPULE,SE (100.0%)
1024,GRVRBGJ,SE (93.29%); TL (0.96%); WR (0.47%); ZZ (5.29%)
1025,GRVSEND,SE (90.48%); TL (8.73%); ZZ (0.79%)
1026,GRWN,AW (76.46%); VT (23.54%)
1027,GSCD,SR (98.3%); ZZ (1.7%)
1028,GSCGNWJ,GR (0.12%); NT (60.74%); TP (39.15%)
1029,GSHRSJN,SR (95.53%); VT (3.76%); WR (0.72%)
1030,GSTANG,CS (3.14%); LS (0.33%); NT (26.33%); TP (29.51%); VT (38.42%); WR (2.27%)
1031,GTCOATS,EM (42.11%); TP (57.89%)
1032,GTHM,CS (1.04%); EM (0.17%); GC (16.96%); GR (72.62%); HT (0.09%); LD (8.65%); ZZ (0.48%)
1033,GTHMNBJ,EM (100.0%)
1034,GTHS,CS (1.12%); GR (54.99%); LD (8.67%); TP (11.18%); WR (0.09%); XC (23.95%)
1035,GTMSNDN,CH (100.0%)
1036,GTSHDMC,GR (70.89%); LS (2.53%); NT (20.25%); WR (6.33%)
1037,GTWK,SN (71.47%); TL (27.88%); ZZ (0.65%)
1038,GUILDFD,SW (28.57%); WR (6.12%); ZZ (65.31%)
1039,GUISELY,NT (100.0%)
1040,GUSBROJ,GR (2.34%); NT (70.45%); TP (27.21%)
1041,GVNDCLP,LS (100.0%)
1042,GWSTJN,SR (99.64%); ZZ (0.36%)
1043,HABRO,EM (48.91%); TP (20.65%); ZZ (30.43%)
1044,HACKNYC,LO (100.0%)
1045,HACKNYW,LO (100.0%)
1046,HADLYWD,CS (0.62%); GN (16.15%); GR (22.67%); HT (0.62%); LD (2.48%); TL (56.83%); ZZ (0.62%)
1047,HADMATP,CH (100.0%)
1048,HAGGERS,LO (100.0%)
1049,HAGGXO,LO (100.0%)
1050,HAGHLYJ,LE (99.52%); ZZ (0.48%)
1051,HAGT,GR (100.0%)
1052,HAKNYNM,LE (92.69%); LO (7.31%)
1053,HALE,AW (100.0%)
1054,HALRYDJ,NT (90.98%); TP (8.91%); WR (0.11%)
1055,HALTONJ,AW (33.71%); LM (30.8%); NT (4.19%); VT (31.21%); ZZ (0.09%)
1056,HAMBLEJ,NT (64.32%); TP (35.68%)
1057,HAMBLNJ,CS (1.04%); GC (10.01%); GR (65.7%); LD (8.63%); NT (8.89%); TP (0.99%); XC (4.57%); ZZ (0.17%)
1058,HAMBLSJ,GR (100.0%)
1059,HAMBLWJ,GR (0.12%); NT (60.74%); TP (39.15%)
1060,HAMLTNC,CS (60.67%); SR (37.08%); ZZ (2.25%)
1061,HAMLTNW,SR (67.35%); ZZ (32.65%)
1062,HAMSTED,AW (7.14%); LM (57.14%); VT (25.0%); XC (10.71%)
1063,HAMTSQ,ME (100.0%)
1064,HANSLPJ,CS (1.04%); LM (35.82%); LS (0.1%); VT (60.84%); WR (0.44%); ZZ (1.76%)
1065,HANWELL,GW (58.62%); HX (19.68%); WR (2.03%); XR (15.21%); ZZ (4.46%)
1066,HAREPKJ,GC (2.19%); GR (37.44%); NT (38.26%); TP (4.47%); XC (17.33%); ZZ (0.3%)
1067,HARLSDN,LO (4.41%); LT (95.59%)
1068,HARLSJN,CS (9.3%); LO (40.52%); VT (47.05%); ZZ (3.13%)
1069,HARMYRL,SR (100.0%)
1070,HAROOTH,CH (100.0%)
1071,HARTFDJ,AW (0.42%); CS (2.65%); LM (23.56%); LS (0.42%); NT (3.14%); VT (68.98%); WR (0.49%); ZZ (0.35%)
1072,HASLEMR,SW (79.1%); XC (20.9%)
1073,HASOCKS,GX (17.65%); SN (35.29%); TL (47.06%)
1074,HASTING,SE (92.31%); SN (7.69%)
1075,HATFILD,CS (0.61%); GN (27.91%); GR (22.39%); HT (0.61%); LD (2.45%); TL (45.4%); ZZ (0.61%)
1076,HATTNNJ,CH (4.88%); LM (93.17%); TY (1.95%)
1077,HATTNWJ,CH (48.87%); LM (50.13%); TY (1.01%)
1078,HATTON,CH (88.27%); LM (6.39%); XC (5.34%)
1079,HAUGHDJ,CS (3.17%); SR (96.12%); ZZ (0.71%)
1080,HAVANT,SN (57.78%); SW (14.81%); XC (24.44%); ZZ (2.96%)
1081,HAWKSLA,LM (99.7%); LS (0.3%)
1082,HAYESAH,GW (52.4%); HX (33.58%); LS (0.37%); XR (5.54%); ZZ (8.12%)
1083,HAYLE,GW (100.0%)
1084,HAYMRCJ,GR (9.09%); SR (85.23%); XC (5.11%); ZZ (0.57%)
1085,HAYMRKT,CS (30.91%); GR (5.89%); SR (41.64%); TP (4.1%); VT (3.58%); WR (0.42%); XC (6.52%); ZZ (6.94%)
1086,HAYMRWJ,CS (2.38%); GR (3.88%); SR (90.6%); VT (0.33%); WR (0.06%); XC (1.67%); ZZ (1.08%)
1087,HAZL,EM (46.84%); NT (3.25%); TP (49.91%)
1088,HAZLGHJ,EM (46.56%); NT (5.32%); TP (48.13%)
1089,HBDNBDG,NT (1.61%); TP (97.19%); WR (1.2%)
1090,HBRN,SE (100.0%)
1091,HBROOMS,SE (100.0%)
1092,HBRTBDG,EM (100.0%)
1093,HBRY,LM (91.64%); LS (0.7%); XC (7.67%)
1094,HCHP,AW (42.37%); NT (10.17%); VT (38.98%); XC (6.78%); ZZ (1.69%)
1095,HCRTJN,SW (99.41%); ZZ (0.59%)
1096,HDNS,LM (100.0%)
1097,HDON,EM (44.83%); TL (54.72%); ZZ (0.45%)
1098,HDRSFLD,TP (80.0%); WR (20.0%)
1099,HEADCRN,SE (88.52%); ZZ (11.48%)
1100,HEALING,EM (42.11%); TP (57.89%)
1101,HEATHHL,AW (100.0%)
1102,HEATHJ,AW (100.0%)
1103,HEATHLL,AW (100.0%)
1104,HEDGEND,XC (100.0%)
1105,HEDSTNL,LO (100.0%)
1106,HELIFLD,LS (9.52%); NT (42.86%); WR (47.62%)
1107,HELPSTN,CS (0.69%); EM (27.46%); GR (2.86%); XC (68.76%); ZZ (0.23%)
1108,HELSBY,AW (11.41%); NT (88.59%)
1109,HELWTHB,NT (97.73%); WR (2.27%)
1110,HEMERDN,GW (73.78%); WR (0.22%); XC (25.6%); ZZ (0.39%)
1111,HEMLHMP,CS (9.62%); LM (14.9%); VT (75.48%)
1112,HEMSWTH,GR (100.0%)
1113,HENDYJ,AW (98.85%); LS (1.15%)
1114,HENLYIA,LM (94.05%); TY (5.95%)
1115,HENSALL,NT (100.0%)
1116,HENWICK,GW (48.29%); LM (51.71%)
1117,HEREFRD,AW (100.0%)
1118,HERNEH,SE (84.58%); SN (3.55%); TL (10.39%); WR (0.11%); ZZ (1.38%)
1119,HERSHAM,SW (100.0%)
1120,HESRJN,SR (100.0%)
1121,HESSLE,GR (14.06%); HT (3.12%); NT (50.0%); TP (32.81%)
1122,HESSLRD,GR (2.39%); HT (8.76%); NT (68.22%); TP (20.63%)
1123,HESTBNK,NT (100.0%)
1124,HETNLEJ,GC (7.17%); NT (15.38%); TP (77.15%); WR (0.12%); ZZ (0.17%)
1125,HETNLJN,GC (9.17%); NT (6.33%); TP (84.08%); WR (0.25%); ZZ (0.17%)
1126,HEVER,SN (100.0%)
1127,HEXHAM,GR (91.8%); WR (8.2%)
1128,HEYFORD,CH (13.92%); GW (3.58%); LS (0.26%); XC (82.25%)
1129,HFDN,GC (9.72%); GN (35.07%); HT (0.69%); LD (4.86%); TL (37.15%); ZZ (12.5%)
1130,HGHBRDG,GW (100.0%)
1131,HGHDJN,EM (30.0%); GR (70.0%)
1132,HGHIBVJ,ZZ (100.0%)
1133,HGHWTHJ,GW (100.0%)
1134,HIGHBYA,LO (100.0%)
1135,HIGM,SE (91.67%); TL (8.33%)
1136,HILSEA,SN (50.0%); SW (50.0%)
1137,HILTONJ,CS (3.34%); GR (2.67%); SR (92.52%); ZZ (1.47%)
1138,HINCKLY,XC (98.57%); ZZ (1.43%)
1139,HINDLEY,NT (100.0%)
1140,HINKREC,ZZ (100.0%)
1141,HINTONA,SW (100.0%)
1142,HITCHIN,CS (0.44%); GC (7.12%); GN (28.23%); GR (53.91%); HT (4.92%); LD (3.63%); TL (1.51%); ZZ (0.25%)
1143,HKBG,SN (100.0%)
1144,HLBDGJN,GR (11.93%); NT (75.94%); TP (6.16%); XC (5.96%)
1145,HLDG,AW (25.09%); NT (14.7%); TP (58.99%); VT (0.61%); XC (0.61%)
1146,HLDGSJ,AW (0.28%); NT (95.81%); VT (1.96%); XC (1.96%)
1147,HLDGWJ,AW (11.97%); NT (59.54%); TP (28.49%)
1148,HLDNBRO,SE (100.0%)
1149,HLFT,SR (100.0%)
1150,HLFX,GC (90.48%); NT (9.52%)
1151,HLGN,LM (100.0%)
1152,HLTNLMR,EM (100.0%)
1153,HLTWHST,GR (86.15%); NT (6.15%); WR (7.69%)
1154,HLVNGTN,GW (99.17%); ZZ (0.83%)
1155,HLWYSJ,CS (0.21%); GC (4.17%); GN (15.7%); GR (32.62%); HT (2.84%); LD (3.23%); TL (41.05%); ZZ (0.19%)
1156,HLYW,LS (4.17%); SR (83.33%); VT (12.5%)
1157,HMBLE,GW (36.36%); SW (63.64%)
1158,HMEADSJ,LE (88.1%); ZZ (11.9%)
1159,HMPDNPK,SN (100.0%)
1160,HMPSTDH,LO (86.96%); SO (0.62%); WR (1.24%); ZZ (11.18%)
1161,HMPTNIA,LM (22.22%); VT (52.78%); XC (25.0%)
1162,HMTNJ,CS (1.15%); LM (29.56%); LS (0.11%); VT (66.91%); WR (0.48%); ZZ (1.78%)
1163,HNDFRTH,AW (46.3%); NT (9.26%); VT (42.59%); ZZ (1.85%)
1164,HNTL,ZZ (100.0%)
1165,HNTNGDN,CS (0.61%); GC (9.98%); GN (1.43%); GR (75.63%); HT (6.9%); LD (5.09%); ZZ (0.36%)
1166,HNTRSJN,SR (100.0%)
1167,HOCKLEY,LE (100.0%)
1168,HOLBJCN,GC (0.96%); GR (23.22%); NT (70.57%); WR (0.03%); XC (5.22%)
1169,HOLME,CS (0.47%); GC (7.7%); GN (3.1%); GR (58.55%); HT (5.38%); LD (3.93%); TL (20.79%); ZZ (0.08%)
1170,HOLYTNJ,CS (2.87%); SR (76.63%); TP (7.39%); VT (6.17%); XC (3.97%); ZZ (2.98%)
1171,HOMRTON,LO (100.0%)
1172,HONITON,GW (80.0%); SW (20.0%)
1173,HONROPK,LO (18.49%); SN (24.52%); TL (56.99%)
1174,HONYBRN,GW (100.0%)
1175,HONYNJN,ZZ (100.0%)
1176,HOOJ,SE (47.46%); TL (52.46%); ZZ (0.08%)
1177,HOOK,SW (100.0%)
1178,HOOTON,ME (100.0%)
1179,HORBRYJ,GC (10.46%); NT (83.31%); TP (5.85%); WR (0.14%); ZZ (0.24%)
1180,HORD137,GC (25.44%); GR (3.07%); NT (71.49%)
1181,HORD148,GC (23.24%); GR (2.9%); NT (73.86%)
1182,HORFDJN,GW (78.67%); LS (0.05%); WR (0.05%); XC (21.06%); ZZ (0.17%)
1183,HORLEY,GW (8.42%); GX (11.58%); SN (27.89%); TL (52.11%)
1184,HORSHAM,SN (100.0%)
1185,HORWICH,NT (12.5%); TP (87.5%)
1186,HOUGHGR,EM (59.03%); NT (21.12%); TP (19.85%)
1187,HOUNSLW,SW (33.33%); WR (23.33%); ZZ (43.33%)
1188,HOVE,SN (98.25%); TL (1.75%)
1189,HOWDEN,NT (50.0%); TP (50.0%)
1190,HOWEACS,LS (1.26%); NT (96.86%); WR (1.89%)
1191,HOXTON,LO (100.0%)
1192,HRBRNSJ,AW (100.0%)
1193,HRGY,CS (0.42%); GC (4.87%); GN (18.64%); GR (25.85%); HT (0.42%); LD (4.45%); TL (41.53%); ZZ (3.81%)
1194,HRGYGL,LO (100.0%)
1195,HRGYPJN,LO (97.91%); WR (0.38%); ZZ (1.71%)
1196,HRLDWOD,LE (95.12%); XR (4.88%)
1197,HRLG,EM (49.08%); TL (46.7%); ZZ (4.22%)
1198,HRLGSSJ,EM (5.6%); TL (94.29%); ZZ (0.11%)
1199,HRLSCTX,AW (99.34%); ZZ (0.66%)
1200,HRLWTWN,LE (100.0%)
1201,HRNEBAY,SE (87.88%); ZZ (12.12%)
1202,HRNS451,GR (100.0%)
1203,HRNSY,CS (0.28%); GN (37.98%); GR (17.35%); HT (0.28%); LD (2.13%); TL (39.97%); ZZ (1.99%)
1204,HROW,CS (1.05%); LM (36.23%); LS (0.1%); VT (61.03%); WR (0.44%); ZZ (1.16%)
1205,HROWDC,LO (100.0%)
1206,HRPNDN,EM (95.74%); TL (4.26%)
1207,HRPNDNJ,EM (42.68%); TL (56.88%); ZZ (0.43%)
1208,HRSM,SE (100.0%)
1209,HRSTGRN,SN (47.22%); TL (52.78%)
1210,HRTBJN,GC (25.16%); GR (2.99%); NT (71.86%)
1211,HRTLEPL,GR (100.0%)
1212,HRTNRDJ,AW (10.53%); GW (69.22%); XC (20.09%); ZZ (0.16%)
1213,HRWDENJ,EM (98.85%); ZZ (1.15%)
1214,HSFT,GR (70.27%); NT (29.73%)
1215,HTCHEND,LO (100.0%)
1216,HTCP,AW (26.12%); EM (7.46%); NT (30.6%); TP (9.7%); VT (17.16%); XC (8.21%); ZZ (0.75%)
1217,HTFLASF,GR (1.95%); HT (0.16%); NT (52.28%); TP (43.33%); ZZ (2.28%)
1218,HTHRGRN,SE (99.89%); ZZ (0.11%)
1219,HTNCRNS,NT (100.0%)
1220,HTNOJN,AW (6.41%); EM (6.87%); NT (49.13%); TP (7.0%); VT (20.82%); WR (0.05%); XC (9.5%); ZZ (0.22%)
1221,HTNRIBL,LS (33.33%); NT (50.0%); WR (16.67%)
1222,HTONSJN,CS (0.8%); GC (4.01%); GR (45.84%); LD (6.51%); NT (18.8%); TP (6.81%); WR (0.07%); XC (17.16%)
1223,HTRWAJN,GW (47.16%); HX (19.67%); LS (0.06%); WR (0.06%); XR (32.6%); ZZ (0.45%)
1224,HTRWAPT,XR (100.0%)
1225,HTRWTJN,HX (49.87%); XR (50.13%)
1226,HUNGRFD,GW (100.0%)
1227,HUNMNBY,NT (100.0%)
1228,HUNTSX,EM (38.03%); NT (48.24%); TP (13.73%)
1229,HUNTXWJ,EM (21.68%); ME (10.66%); NT (60.61%); TP (7.05%)
1230,HUYTON,EM (2.82%); NT (8.22%); TP (88.96%)
1231,HWRDJN,GW (98.75%); WR (0.42%); ZZ (0.84%)
1232,HWYCOMB,CH (100.0%)
1233,HYDB,GR (15.18%); LS (0.54%); NT (82.93%); WR (1.36%)
1234,HYDEJ,NT (100.0%)
1235,HYNDLEJ,CS (0.76%); SR (98.87%); WR (0.06%); ZZ (0.31%)
1236,HYNDLND,SR (100.0%)
1237,HYNDLWJ,SR (100.0%)
1238,HYWDJN,GC (96.39%); GR (3.61%)
1239,HYWRDSH,GX (73.45%); SN (18.25%); TL (8.0%); ZZ (0.3%)
1240,IFIELD,SN (100.0%)
1241,ILFELEJ,CC (10.32%); LE (63.27%); LO (17.29%); SO (0.72%); XR (2.64%); ZZ (5.76%)
1242,ILFORD,CC (2.51%); LE (86.46%); LO (1.82%); SO (0.08%); XR (8.37%); ZZ (0.76%)
1243,ILKESJN,ZZ (100.0%)
1244,INCE,NT (100.0%)
1245,INSCH,SR (45.71%); ZZ (54.29%)
1246,INVKLOR,CS (5.13%); GR (15.2%); SR (68.07%); XC (8.01%); ZZ (3.59%)
1247,INVRSHN,SR (100.0%)
1248,INVURIE,ZZ (100.0%)
1249,IPSWBHJ,LE (100.0%)
1250,IPSWEPJ,LE (99.53%); ZZ (0.47%)
1251,IPSWESJ,LE (99.69%); ZZ (0.31%)
1252,IPSWHJN,LE (99.48%); ZZ (0.52%)
1253,IPSWICH,LE (100.0%)
1254,IRNVLJN,EM (52.54%); NT (44.85%); ZZ (2.61%)
1255,IRVN,SR (72.28%); ZZ (27.72%)
1256,IVER,GW (87.67%); HX (0.68%); XR (4.11%); ZZ (7.53%)
1257,IVRKTHG,SR (60.79%); XC (23.33%); ZZ (15.88%)
1258,IVRNNL,SR (100.0%)
1259,IVYBDGE,GW (60.46%); WR (0.34%); XC (38.61%); ZZ (0.59%)
1260,JAMESST,ME (100.0%)
1261,JOHNSTN,SR (100.0%)
1262,JORDANH,SR (100.0%)
1263,JRDJ,LO (98.47%); WR (0.37%); ZZ (1.16%)
1264,KCLD,SR (61.19%); XC (21.56%); ZZ (17.25%)
1265,KDRMNST,CH (45.86%); LM (29.83%); XC (24.31%)
1266,KEBGEJN,GC (20.86%); GR (11.51%); NT (44.96%); TP (11.87%); XC (10.79%)
1267,KEBGNJN,GC (12.58%); GR (2.39%); NT (81.34%); TP (0.43%); XC (3.25%)
1268,KEBGSJN,CS (0.5%); GC (0.08%); GR (29.43%); LD (4.15%); NT (36.97%); TP (12.91%); WR (0.12%); XC (15.67%); ZZ (0.17%)
1269,KEIGHLY,GR (23.91%); LS (2.17%); NT (71.74%); WR (2.17%)
1270,KEITHLP,SR (87.27%); ZZ (12.73%)
1271,KEMBLE,GW (100.0%)
1272,KEMSING,SE (100.0%)
1273,KENLWTH,LM (50.12%); LS (0.15%); XC (49.73%)
1274,KENNETT,LE (100.0%)
1275,KENOLYM,LO (69.11%); WR (12.36%); ZZ (18.53%)
1276,KENR,LO (97.18%); ZZ (2.82%)
1277,KENSLG,LO (5.8%); LT (94.2%)
1278,KENSLGJ,LO (99.58%); SO (0.03%); WR (0.1%); ZZ (0.29%)
1279,KENTHOS,SE (98.41%); TL (0.75%); ZZ (0.84%)
1280,KETR,EM (97.17%); ZZ (2.83%)
1281,KETR094,EM (100.0%)
1282,KETRGNJ,EM (98.87%); ZZ (1.13%)
1283,KETRSJ,EM (98.85%); ZZ (1.15%)
1284,KETTON,EM (6.53%); XC (93.47%)
1285,KEWEJ,WR (23.08%); ZZ (76.92%)
1286,KEWGRDN,LO (7.14%); LT (92.86%)
1287,KEYHAM,GW (100.0%)
1288,KEYMERJ,GX (16.01%); SN (42.5%); TL (41.44%); ZZ (0.06%)
1289,KEYNSHM,GW (100.0%)
1290,KGSGJN,SR (100.0%)
